City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Inta,RU,2021-02-04 14:52:09,66.0317,60.1659,-1.97,93,97,2.8
68,Gorodovikovsk,RU,2021-02-04 14:52:09,46.0878,41.9335,51.33,57,29,8.25
69,Port Elizabeth,ZA,2021-02-04 14:52:09,-33.918,25.5701,77.0,65,40,10.36
70,Georgetown,MY,2021-02-04 14:50:51,5.4112,100.3354,82.4,57,20,6.91
71,Nikolskoye,RU,2021-02-04 14:52:10,59.7035,30.7861,12.2,85,40,13.42
72,Banepa,NP,2021-02-04 14:52:10,27.6298,85.5214,55.4,54,20,3.44
73,Zapolyarnyy,RU,2021-02-04 14:52:10,69.4154,30.8136,23.0,93,75,8.05
74,Leningradskiy,RU,2021-02-04 14:50:20,69.3833,178.4167,-26.18,85,100,6.15
75,Laguna,US,2021-02-04 14:52:10,38.421,-121.4238,41.0,70,1,6.91
76,Kapaa,US,2021-02-04 14:51:47,22.0752,-159.319,62.6,72,90,5.75
77,Saldanha,ZA,2021-02-04 14:52:11,-33.0117,17.9442,78.8,50,0,20.71
78,Christchurch,NZ,2021-02-04 14:49:10,-43.5333,172.6333,48.0,93,0,3.44
79,Lazaro Cardenas,MX,2021-02-04 14:52:11,17.9583,-102.2,75.47,72,1,3.31
80,Atuona,PF,2021-02-04 14:49:52,-9.8,-139.0333,77.74,72,26,10.09
81,Severo-Kurilsk,RU,2021-02-04 14:50:33,50.6789,156.125,9.7,88,98,16.26
82,Puerto Ayora,EC,2021-02-04 14:49:43,-0.7393,-90.3518,80.6,74,0,13.8
83,Yichang,CN,2021-02-04 14:49:32,30.7144,111.2847,44.01,78,100,1.01
84,Saint-Philippe,RE,2021-02-04 14:52:12,-21.3585,55.7679,84.2,65,0,14.97
85,Amga,RU,2021-02-04 14:52:12,60.8953,131.9608,-42.45,78,14,0.63
86,Vrangel,RU,2021-02-04 14:52:12,42.7297,133.0839,6.58,81,0,11.81
87,Cherskiy,RU,2021-02-04 14:50:48,68.75,161.3,-6.27,68,0,11.43
88,Quatre Cocos,MU,2021-02-04 14:52:12,-20.2078,57.7625,82.4,69,75,14.97
89,Husavik,IS,2021-02-04 14:52:12,66.0449,-17.3389,30.2,64,20,9.22
90,Hithadhoo,MV,2021-02-04 14:52:13,-0.6,73.0833,82.83,74,91,10.89
91,Punta Arenas,CL,2021-02-04 14:50:08,-53.15,-70.9167,60.8,59,75,27.63
92,Huarmey,PE,2021-02-04 14:52:13,-10.0681,-78.1522,74.41,64,60,6.35
93,Igunga,TZ,2021-02-04 14:52:13,-4.2833,33.8833,83.55,53,55,3.0
94,Lasa,IT,2021-02-04 14:50:24,46.6166,10.7002,48.99,56,0,5.75
95,Visby,SE,2021-02-04 14:52:13,57.6409,18.296,26.6,74,75,16.11
