City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
639,Ca Mau,9.1769,105.15,73.63,81,43,6.08,VN,2021-02-05 23:28:53,scattered clouds
640,Mahanoro,-19.9,48.8,75.81,85,34,4.18,MG,2021-02-05 23:28:53,scattered clouds
641,Plover,44.4564,-89.544,8.01,72,40,14.97,US,2021-02-05 23:28:53,scattered clouds
642,Danville,36.586,-79.395,48.2,27,1,10.36,US,2021-02-05 23:24:39,clear sky
643,Waiuku,-37.25,174.75,75.99,50,75,3.44,NZ,2021-02-05 23:28:54,broken clouds
644,Maple Creek,49.9168,-109.4848,-2.2,78,100,11.5,CA,2021-02-05 23:28:54,light snow
645,Ketchikan,55.3422,-131.6461,37.4,87,90,4.61,US,2021-02-05 23:28:54,overcast clouds
646,Tigzirt,36.8886,4.1198,62.2,43,47,14.07,DZ,2021-02-05 23:28:54,scattered clouds
647,Yendi,9.4427,-0.0099,83.79,17,39,3.56,GH,2021-02-05 23:28:54,scattered clouds
648,Takahagi,36.7167,140.7167,35.6,69,20,5.75,JP,2021-02-05 23:28:54,few clouds
649,Pringsewu,-5.3582,104.9744,72.64,94,99,2.98,ID,2021-02-05 23:28:55,overcast clouds
650,Homer,59.6425,-151.5483,26.01,93,90,5.75,US,2021-02-05 23:28:39,overcast clouds
651,Usinsk,65.9939,57.5281,-15.75,88,91,14.67,RU,2021-02-05 23:28:55,overcast clouds
652,Rovaniemi,66.5,25.7167,15.8,92,90,10.36,FI,2021-02-05 23:28:34,light snow
653,Diamantino,-14.4086,-56.4461,77.47,84,84,3.94,BR,2021-02-05 23:28:55,broken clouds
654,Aulla,44.2146,9.9678,55.0,79,97,1.01,IT,2021-02-05 23:28:55,overcast clouds
655,Simpang,-1.2667,104.0833,75.58,92,95,3.22,ID,2021-02-05 23:28:55,overcast clouds
656,Kununurra,-15.7667,128.7333,80.6,100,99,4.61,AU,2021-02-05 23:28:56,overcast clouds
657,Ornskoldsvik,63.2909,18.7153,14.0,92,0,10.36,SE,2021-02-05 23:28:56,clear sky
658,Sovetskiy,61.3614,63.5842,17.44,97,100,8.12,RU,2021-02-05 23:28:56,snow
659,Fagernes,60.9858,9.2324,-2.0,80,26,4.5,NO,2021-02-05 23:28:56,scattered clouds
660,Kudirkos Naumiestis,54.7731,22.8631,12.42,95,100,5.35,LT,2021-02-05 23:28:56,overcast clouds
661,Rorvik,64.8621,11.2373,24.71,91,18,6.82,NO,2021-02-05 23:24:11,few clouds
662,Price,39.5994,-110.8107,39.2,48,90,13.8,US,2021-02-05 23:24:39,overcast clouds
663,Port Harcourt,4.7774,7.0134,82.6,76,0,7.38,NG,2021-02-05 23:28:57,clear sky
664,Samarai,-10.6167,150.6667,83.57,73,7,5.06,PG,2021-02-05 23:28:57,clear sky
665,Hervey Bay,-25.2986,152.8535,81.0,70,20,3.0,AU,2021-02-05 23:28:57,few clouds
666,Burns Lake,54.2331,-125.7533,28.4,80,100,2.68,CA,2021-02-05 23:28:57,overcast clouds
667,Klaksvik,62.2266,-6.589,32.0,100,20,4.61,FO,2021-02-05 23:28:57,light snow
668,Ambilobe,-13.2,49.05,74.19,92,82,2.17,MG,2021-02-05 23:28:58,broken clouds
669,Santa Rita,-7.1139,-34.9781,78.8,83,20,5.75,BR,2021-02-05 23:28:58,few clouds
670,Fairlie,55.756,-4.8556,37.0,92,100,5.01,GB,2021-02-05 23:28:58,overcast clouds
671,Smolenka,52.1352,113.4974,-9.4,77,8,2.71,RU,2021-02-05 23:28:58,clear sky
672,Coahuayana,18.7333,-103.6833,75.2,73,40,6.11,MX,2021-02-05 23:28:58,scattered clouds
673,Akdepe,42.0551,59.3788,51.8,54,0,11.5,TM,2021-02-05 23:28:58,clear sky
674,Arawa,-6.2132,155.5367,84.61,68,13,5.1,PG,2021-02-05 23:28:59,few clouds
675,Silvan,38.1419,41.0081,35.6,100,0,2.06,TR,2021-02-05 23:28:59,clear sky
676,Nebbi,2.4783,31.0889,73.92,28,100,4.76,UG,2021-02-05 23:28:59,overcast clouds
677,Antsohihy,-14.8796,47.9875,74.8,93,81,2.17,MG,2021-02-05 23:28:59,light rain
678,Ayr,55.4627,-4.6339,37.4,87,20,17.27,GB,2021-02-05 23:28:59,light rain
679,Cabedelo,-6.9811,-34.8339,78.8,83,20,5.75,BR,2021-02-05 23:28:59,few clouds
680,Zhoucheng,35.9122,116.3117,45.0,1,0,4.92,CN,2021-02-05 23:29:00,clear sky
681,Sao Filipe,14.8961,-24.4956,69.87,75,30,15.55,CV,2021-02-05 23:29:00,scattered clouds
682,North Platte,41.1239,-100.7654,37.4,52,1,6.91,US,2021-02-05 23:29:00,clear sky
683,Baft,29.234,56.6057,40.77,56,11,2.19,IR,2021-02-05 23:29:00,few clouds
684,Zurrieq,35.8311,14.4742,61.0,94,0,5.75,MT,2021-02-05 23:29:00,clear sky
685,Todos Santos,23.45,-110.2167,73.99,71,5,8.99,MX,2021-02-05 23:29:01,clear sky
686,Xuddur,4.1213,43.8894,67.24,87,8,16.15,SO,2021-02-05 23:25:10,clear sky
687,Huaraz,-9.5333,-77.5333,57.43,64,81,3.67,PE,2021-02-05 23:29:01,moderate rain
688,Gazli,40.1333,63.45,51.8,43,100,12.88,UZ,2021-02-05 23:29:01,overcast clouds
689,Darhan,49.4867,105.9228,-0.47,85,44,3.2,MN,2021-02-05 23:29:01,light snow
690,Malanje,-9.5402,16.341,64.65,92,100,1.88,AO,2021-02-05 23:29:01,overcast clouds
691,Soverato,38.685,16.5499,57.0,87,20,8.05,IT,2021-02-05 23:29:02,few clouds
692,Lozovo,41.7839,21.9056,35.6,93,0,1.14,MK,2021-02-05 23:29:02,clear sky
693,Mocuba,-16.8392,36.9856,74.35,97,100,1.12,MZ,2021-02-05 23:29:02,overcast clouds
694,Gibara,21.1097,-76.1317,78.8,73,40,14.97,CU,2021-02-05 23:29:02,scattered clouds
695,Goundam,16.4145,-3.6708,77.85,17,100,6.17,ML,2021-02-05 23:24:23,overcast clouds
696,Asyut,27.181,31.1837,55.4,76,0,10.36,EG,2021-02-05 23:29:02,clear sky
697,Amahai,-3.3333,128.9167,80.89,76,84,3.67,ID,2021-02-05 23:29:03,broken clouds
698,Kheralu,23.8833,72.6167,56.73,36,0,8.1,IN,2021-02-05 23:29:03,clear sky
699,Awjilah,29.1081,21.2869,53.2,59,0,2.37,LY,2021-02-05 23:29:03,clear sky
